200.0,22.0,500.0,9.0e+11,1e+24,0.00893946375165863,2166666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,500.0,9.0e+11,1e+25,0.011878884290418905,1200000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,500.0,9.0e+11,5e+23,0.00921800059700899,2100000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,22.0,500.0,9.0e+11,5e+24,0.011149153626699949,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,300.0,9.0e+11,1e+24,0.006368385161149786,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,300.0,9.0e+11,1e+25,0.009081145762382578,1350000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,300.0,9.0e+11,5e+23,0.00615935199239798,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,300.0,9.0e+11,5e+24,0.007975458518511657,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,400.0,9.0e+11,1e+24,0.007768603046879685,2133333333333.3333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,400.0,9.0e+11,1e+25,0.008451314139029808,3983333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,400.0,9.0e+11,5e+23,0.006836226602308122,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,400.0,9.0e+11,5e+24,0.00928799605632735,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,500.0,9.0e+11,1e+24,0.008295846782527965,4283333333333.333
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,500.0,9.0e+11,1e+25,0.010240494429461603,1216666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,500.0,9.0e+11,5e+23,0.008198784871200331,2116666666666.6665
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,23.0,500.0,9.0e+11,5e+24,0.010585079570497157,4666666666666.666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,300.0,9.0e+11,1e+24,0.005667674121408771,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,300.0,9.0e+11,1e+25,0.008456056774815583,466666666666.6666
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,300.0,9.0e+11,5e+23,0.006898209860779528,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,300.0,9.0e+11,5e+24,0.008599837934505323,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,400.0,9.0e+11,1e+24,0.008172433980203906,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,400.0,9.0e+11,1e+25,0.00978533293771095,1450000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
200.0,24.0,400.0,9.0e+11,5e+23,0.007845184696058329,5000000000000.0
Wo,Vds,Temp,Intervalley,Nd,Mod index,FMA
